id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,temps_diff,lat_std,long_std,cluster_DBSCAN
8509692423,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,42,8,7,6,2012,234520920.0,-1.8577470844992525,-0.14179275987969384,229
8509692317,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,44,8,7,6,2012,234521040.0,-1.8577470844992525,-0.14179275987969384,229
8510800004,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,10,9,7,6,2012,234522600.0,-1.8577470844992525,-0.14179275987969384,229
8509692115,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,32,9,7,6,2012,234523920.0,-1.8577470844992525,-0.14179275987969384,229
8510799838,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,25,13,7,6,2012,234537900.0,-1.8577470844992525,-0.14179275987969384,229
8509691929,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,0,7,8,6,2012,234601200.0,-1.8577470844992525,-0.14179275987969384,229
8510799646,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,0,7,8,6,2012,234601200.0,-1.8577470844992525,-0.14179275987969384,229
8509691795,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,1,7,8,6,2012,234601260.0,-1.8577470844992525,-0.14179275987969384,229
8510799456,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,2,7,8,6,2012,234601320.0,-1.8577470844992525,-0.14179275987969384,229
8509691653,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,13,7,8,6,2012,234601980.0,-1.8577470844992525,-0.14179275987969384,229
8509691549,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,42,7,8,6,2012,234603720.0,-1.8577470844992525,-0.14179275987969384,229
8509691441,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,49,7,8,6,2012,234604140.0,-1.8577470844992525,-0.14179275987969384,229
8509691339,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,37,7,12,6,2012,234949020.0,-1.8577470844992525,-0.14179275987969384,229
8509691263,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,5,9,12,6,2012,234954300.0,-1.8577470844992525,-0.14179275987969384,229
8509691167,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,18,9,12,6,2012,234955080.0,-1.8577470844992525,-0.14179275987969384,229
8509691089,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,22,9,12,6,2012,234955320.0,-1.8577470844992525,-0.14179275987969384,229
8510798736,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,23,9,12,6,2012,234955380.0,-1.8577470844992525,-0.14179275987969384,229
8510798670,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,7,10,12,6,2012,234958020.0,-1.8577470844992525,-0.14179275987969384,229
8509690871,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,25,14,12,6,2012,234973500.0,-1.8577470844992525,-0.14179275987969384,229
8509690777,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,39,14,12,6,2012,234974340.0,-1.8577470844992525,-0.14179275987969384,229
8509690693,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,27,15,12,6,2012,234977220.0,-1.8577470844992525,-0.14179275987969384,229
8509690593,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,18,16,12,6,2012,234980280.0,-1.8577470844992525,-0.14179275987969384,229
8510798228,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,16,17,12,6,2012,234983760.0,-1.8577470844992525,-0.14179275987969384,229
8510798148,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,16,17,12,6,2012,234983760.0,-1.8577470844992525,-0.14179275987969384,229
8510797746,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,18,9,10,5,2012,232103880.0,-1.8577470844992525,-0.14179275987969384,229
8510797628,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,53,8,7,6,2012,234521580.0,-1.8577470844992525,-0.14179275987969384,229
